no SK_L SK_B CR_I FEM TIB HUM ULN TOT AGE CODE EXC
846 37.8 31.2 82.6 76.0 112.5 74.6 67.7 368.6 399 A .
847 39.6 29.9 75.5 78.3 115.5 73.7 67.5 374.6 860 A .
849 40.0 29.9 74.8 77.8 111.5 74.6 69.9 373.8 346 A .
851 40.3 29.9 74.2 76.4 116.5 78.2 72.2 383.6 654 A .
862 39.3 29.8 75.8 78.7 117.5 74.8 67.7 378.0 682 A .
863 37.4 29.0 77.5 75.9 112.0 74.0 68.1 367.4 372 A .
866 38.5 30.5 79.2 76.7 114.0 75.2 69.4 373.8 308 A .
868 40.2 30.0 74.6 78.2 120.0 76.5 70.5 385.4 758 A .
868 37.1 29.0 78.2 71.6 106.5 72.4 66.0 353.6 346 AL .
869 35.9 28.6 79.7 74.5 110.0 72.5 66.7 359.6 391 A .
876 36.8 29.4 79.9 72.3 114.5 70.7 66.8 361.1 271 A .
880 42.4 32.7 77.1 87.7 130.5 85.0 77.2 422.8 1105 A .
883 39.3 29.9 76.1 81.3 121.0 77.6 70.7 389.9 701 A .
884 37.7 29.7 78.8 72.3 108.5 . 65.5 354.6 329 BC .
885 38.3 . . 71.6 109.0 70.6 67.4 356.9 326 B .
888 38.3 30.1 78.6 74.3 110.5 72.6 66.2 361.9 309 A .
889 40.2 31.3 77.9 77.7 118.0 77.1 71.1 384.1 360 A .
900 40.5 31.3 77.3 72.3 109.0 72.8 66.6 361.2 1251 A .
902 39.4 30.0 76.1 76.7 114.0 75.0 68.3 373.4 353 A .
903 40.5 31.5 77.8 78.9 119.0 75.9 70.5 384.8 344 A .
905 37.2 29.6 79.6 75.8 107.5 72.5 66.1 359.1 783 A .
905 40.6 31.4 77.3 78.8 118.5 77.5 . 386.4 284 ML .
906 39.0 . . 75.0 112.5 75.0 68.3 369.8 388 BL .
907 39.3 29.6 75.3 78.2 115.5 77.9 71.4 382.3 377 AL .
909 37.4 . . 74.8 113.0 73.1 67.5 365.8 261 BL .
910 36.3 28.2 77.7 76.0 109.0 72.9 67.5 361.7 385 A .
911 39.3 30.0 76.4 79.2 116.0 77.4 71.0 382.9 287 A .
913 39.1 30.2 77.3 73.4 111.5 . 68.1 364.8 308 BC .
919 39.3 30.3 77.1 76.7 115.5 75.9 69.7 377.1 366 AL .
920 37.8 28.7 75.9 72.5 107.5 70.6 65.6 354.0 788 A .
921 38.0 29.0 76.3 76.5 112.5 75.1 68.7 370.8 365 A .
925 37.8 29.4 77.8 73.8 108.5 72.4 66.1 358.6 271 A .
926 . . . 77.8 117.0 73.8 69.2 376.7 351 MC .
928 40.6 30.3 74.6 79.0 117.0 77.4 71.8 385.8 395 A .
931 39.2 29.8 76.0 75.1 112.5 73.2 67.3 367.3 694 A .
932 38.8 31.3 80.7 82.9 123.5 78.1 72.8 396.1 385 A .
933 36.9 30.1 81.6 72.8 109.5 71.5 65.3 356.0 794 A .
934 38.7 29.7 76.7 79.9 117.5 76.6 71.3 384.0 389 A .
941 40.2 30.9 76.9 80.1 120.0 76.5 70.9 387.7 282 A .
942 . . . 78.0 118.5 76.0 70.2 382.2 232 LMC .
943 . . . 80.9 118.5 80.4 74.3 394.9 326 LMC .
944 39.1 30.5 78.0 77.4 116.0 75.9 69.6 378.0 299 AL .
